Nodes added = 70 :-

ext_f0_j6  ↔  cme_f0_cme_exit  |  weight: 8

cme_f0_cme_entrance  ↔  cme_f0_registrar_office  |  weight: 8

cme_f0_registrar_office  ↔  cme_f0_male_washroom  |  weight: 4

cme_f0_registrar_office  ↔  cme_f0_water_filter  |  weight: 2

cme_f0_water_filter  ↔  cme_f0_lift_stairs  |  weight: 5

cme_f0_water_filter  ↔  cme_f0_iqac  |  weight: 10

cme_f0_iqac  ↔  cme_f0_tpo_office_placement_cell  |  weight: 4

cme_f0_tpo_office_placement_cell  ↔  cme_f0_guards_desk  |  weight: 4

cme_f0_guards_desk  ↔  cme_f0_cme_exit  |  weight: 10

cme_f0_tpo_office_placement_cell  ↔  cme_f0_cme_006  |  weight: 15

cme_f0_cme_006  ↔  cme_f0_cme_004  |  weight: 1

cme_f0_cme_006  ↔  cme_f0_language_lab  |  weight: 25

cme_f0_language_lab  ↔  cme_f0_fluid_mechanics_lab  |  weight: 3

cme_f0_fluid_mechanics_lab  ↔  cme_f0_cme_008  |  weight: 2

cme_f0_cme_008  ↔  cme_f0_service_room  |  weight: 8

cme_f0_service_room  ↔  cme_f0_female_washroom  |  weight: 2

cme_f0_service_room  ↔  cme_f0_stairs  |  weight: 4

cme_f0_stairs  ↔  cme_f0_administrative_office  |  weight: 12

ext_f0_j2  ↔  ext_f0_j3  |  weight: 30

ext_f0_j3  ↔  cb_f0_cb_entrance  |  weight: 30

cb_f0_cb_entrance  ↔  cb_f0_library  |  weight: 4

cb_f0_library  ↔  ext_f0_j6  |  weight: 26

cb_f0_cb_entrance  ↔  cb_f0_placement_hall  |  weight: 4

cb_f0_cb_entrance  ↔  cb_f0_entry_gate_1  |  weight: 16

cb_f0_cb_entrance  ↔  cb_f0_entry_gate_2  |  weight: 16

cb_f0_entry_gate_1  ↔  cb_f0_male_washroom  |  weight: 2

cb_f0_male_washroom  ↔  cb_f0_lift_stairs_1  |  weight: 4

cb_f0_male_washroom  ↔  cb_f0_sv_auditorium  |  weight: 4

cb_f0_entry_gate_1  ↔  cb_f0_executive_hall  |  weight: 10

cb_f0_executive_hall  ↔  cb_f0_entry_gate_2  |  weight: 10

cb_f0_entry_gate_2  ↔  cb_f0_colonel_sirs_office  |  weight: 4

cb_f0_colonel_sirs_office  ↔  cb_f0_liftstairs_2  |  weight: 4

cb_f0_colonel_sirs_office  ↔  cb_f0_female_washroom  |  weight: 24

cb_f0_female_washroom  ↔  cb_f0_cb_exit  |  weight: 4

ext_f0_j3  ↔  ext_f0_the_heritage_academy_building  |  weight: 30

cb_f0_placement_hall  ↔  ict_f0_ict_entrance  |  weight: 26

ext_f0_the_heritage_academy_building  ↔  ext_f0_sac_ground  |  weight: 25

ext_f0_sac_ground  ↔  ext_f0_hostel_road_junction  |  weight: 10

ext_f0_hostel_road_junction  ↔  ext_f0_cheap_store  |  weight: 50

ext_f0_cheap_store  ↔  ext_f0_30_bigha_ground  |  weight: 20

ext_f0_30_bigha_ground  ↔  ext_f0_labours_canteen  |  weight: 5

ext_f0_30_bigha_ground  ↔  ext_f0_college_canteen  |  weight: 15

ext_f0_the_heritage_academy_building  ↔  ict_f0_ict_entrance  |  weight: 30

ict_f0_ict_entrance  ↔  ict_f0_guards_desk  |  weight: 2

ict_f0_guards_desk  ↔  ict_f0_liftstairs  |  weight: 3

ict_f0_liftstairs  ↔  ict_f0_ict_003_ieee_electron_devices_society  |  weight: 4

ict_f0_ict_003_ieee_electron_devices_society  ↔  ict_f0_ict_002_microprocessor_and_microcontroller_lab  |  weight: 6

ict_f0_ict_002_microprocessor_and_microcontroller_lab  ↔  ict_f0_ict_001_circuit_and_network_lab  |  weight: 1

ict_f0_ict_003_ieee_electron_devices_society  ↔  ict_f0_faculty_washroom  |  weight: 8

ict_f0_faculty_washroom  ↔  ict_f0_ict_004  |  weight: 5

ict_f0_ict_004  ↔  ict_f0_ict_009_electrical_and_electronics_measurement_lab  |  weight: 1

ict_f0_ict_004  ↔  ict_f0_ict_005_digital_electronics_lab  |  weight: 15

ict_f0_ict_005_digital_electronics_lab  ↔  ict_f0_ict_008  |  weight: 1

ict_f0_ict_005_digital_electronics_lab  ↔  ict_f0_male_washroom  |  weight: 8

ict_f0_male_washroom  ↔  ict_f0_female_washroom  |  weight: 2

ict_f0_female_washroom  ↔  ict_f0_stairs  |  weight: 4

ext_f0_under_construction_building  ↔  ext_f0_heritage_school_canteen  |  weight: 50

ext_f0_heritage_school_canteen  ↔  ext_f0_j4  |  weight: 40

ext_f0_j1  ↔  ext_f0_under_construction_building  |  weight: 80

ext_f0_j4  ↔  ext_f0_heritage_school_entry_gate  |  weight: 20

ext_f0_heritage_school_entry_gate  ↔  ext_f0_fee_department  |  weight: 5

ext_f0_j4  ↔  ext_f0_heritage_law_college  |  weight: 10

ext_f0_heritage_law_college  ↔  ext_f0_punjab_national_bank  |  weight: 40

ext_f0_punjab_national_bank  ↔  ext_f0_gate_number_3  |  weight: 30

ext_f0_gate_number_3  ↔  ext_f0_atm  |  weight: 10

ext_f0_j3  ↔  ext_f0_basketball_court  |  weight: 15

ext_f0_basketball_court  ↔  ext_f0_school_cricket_ground  |  weight: 10

ext_f0_school_cricket_ground  ↔  ext_f0_j5  |  weight: 80

ext_f0_j5  ↔  ext_f0_gate_number_3  |  weight: 80
